배정번호,건조로 온도 1 Zone_min,건조로 온도 1 Zone_max,건조로 온도 2 Zone_min,건조로 온도 2 Zone_max,세정기_min,세정기_max,소입로 CP 값_min,소입로 CP 값_max,소입로 온도 1 Zone_min,소입로 온도 1 Zone_max,소입로 온도 2 Zone_min,소입로 온도 2 Zone_max,소입로 온도 3 Zone_min,소입로 온도 3 Zone_max,소입로 온도 4 Zone_min,소입로 온도 4 Zone_max,솔트 컨베이어 온도 1 Zone_min,솔트 컨베이어 온도 1 Zone_max,솔트 컨베이어 온도 2 Zone_min,솔트 컨베이어 온도 2 Zone_max,솔트조 온도 1 Zone_min,솔트조 온도 1 Zone_max,솔트조 온도 2 Zone_min,솔트조 온도 2 Zone_max,양품수량,불량수량,총수량,불량률,불량단계,불량숫자단계,공정상태
118674,98.441,100.945,98.2491,100.696,65.2703,67.6473,0.439765,0.463183,852.343,865.771,858.867,861.296,859.208,860.612,859.095,860.828,268.386,296.923,268.649,290.476,331.715,332.314,332.107,332.532,75695,30,75725,0.04,위험,0,0
118961,97.9762,101.793,98.6342,101.328,66.9616,68.2704,0.444578,0.456299,847.302,872.085,856.905,862.62,858.354,861.272,858.791,861.891,269.191,297.065,269.27,290.386,331.857,332.334,332.067,332.507,18356,2,18358,0.011,안정,1,1
119202,98.4645,102.019,98.2392,101.446,66.723,68.2611,0.441359,0.461047,851.061,870.86,857.824,862.539,858.875,861.091,858.705,861.304,269.068,297.063,269.973,289.393,331.632,332.287,331.843,332.477,27498,8,27506,0.029,안정,1,1
119208,97.8522,101.742,98.2127,101.302,66.5274,67.8695,0.441799,0.461952,847.048,870.542,857.088,862.538,858.548,861.317,858.63,861.403,269.092,297.251,270.817,288.911,331.728,332.333,331.954,332.366,14924,7,14931,0.047,위험,0,0
119448,98.1059,101.432,98.5708,101.167,67.2108,68.9715,0.442353,0.460924,848.842,870.171,857.646,862.179,858.661,861.231,858.815,861.399,269.164,297.056,269.487,290.813,331.659,332.302,331.771,332.461,74700,7,74707,0.009,안정,1,1
119662,97.3421,102.469,98.2823,101.202,68.0376,69.7698,0.294889,0.462243,849.608,871.655,858.089,862.464,858.914,861.076,858.428,861.02,269.663,297.646,269.55,290.716,331.407,332.33,331.158,332.455,15286,7,15293,0.046,위험,0,1
120395,98.4405,101.68,99.046,100.997,65.4581,67.0821,0.428592,0.477786,850.58,871.803,857.703,862.618,858.528,861.244,858.227,861.065,269.097,297.109,269.698,290.378,331.544,332.311,331.883,332.518,45457,4,45461,0.009,안정,1,1
120492,98.2272,101.754,98.1443,101.475,65.7241,67.1706,0.433865,0.47105,848.6,871.348,857.132,862.322,858.521,861.393,858.988,861.586,269.245,297.011,269.345,290.003,331.614,332.308,331.777,332.485,14250,9,14259,0.063,위험,0,0
120867,98.9845,101.864,99.1979,101.32,65.7853,68.4028,0.43121,0.4811,852.421,869.935,858.431,862.222,858.912,860.96,858.676,861.997,269.325,297.571,269.768,289.954,331.677,332.423,332.02,332.723,87704,33,87737,0.038,안정,1,1
121210,98.2038,102.154,98.0279,101.347,65.5628,67.3899,0.424417,0.4847125,849.968,869.285,857.015,862.984,858.288,861.563,858.245,861.39,269.297,297.594,269.275,291.107,331.547,332.369,331.879,332.618,89797,16,89813,0.018,안정,1,0
122221,98.0944,101.748,98.0769,101.39,64.1195,66.6615,0.433237,0.471632,841.402,873.433,856.798,861.919,858.601,861.399,858.762,861.316,269.086,297.016,269.578,290.275,331.559,332.378,332.194,332.86,90142,17,90159,0.019,안정,1,0
122371,97.9677,102.277,98.3128,101.476,62.5888,66.1925,0.432194,0.474326,843.738,875.055,857.343,862.308,858.677,861.601,858.791,861.211,268.976,296.822,268.685,289.908,331.267,332.35,331.954,332.926,45502,15,45517,0.033,안정,1,0
122460,99.2092,99.6363,98.7367,98.9902,64.8939,65.1504,0.446586,0.452363,858.775,859.273,859.691,860.263,859.997,860.433,860.149,860.41,282.083,287.104,286.71,288.372,331.849,332.103,332.496,332.699,11551,1,11552,0.009,안정,1,1
123527,97.861,101.981,98.4148,101.501,65.8542,67.7587,0.425687,0.490574,846.699,874.783,857.498,862.122,858.765,860.95,858.908,861.086,269.012,297.382,269.088,290.237,331.677,332.499,332.454,332.922,74714,17,74731,0.023,안정,1,0
123689,98.5707,101.97,98.2951,101.487,67.5051,68.684,0.432371,0.47779,840.924,873.686,856.966,862.098,858.987,861.3130000000001,859.09,861.143,269.175,296.417,270.45,288.239,331.544,332.3,332.072,332.701,14992,2,14994,0.013,안정,1,0
123708,98.1281,101.965,97.8706,101.453,66.8375,68.6431,0.437249,0.465917,848.942,873.119,857.779,862.136,858.657,861.045,858.818,861.295,269.086,297.233,268.764,290.865,331.646,332.444,332.348,332.863,44758,32,44790,0.071,위험,0,1
124128,98.8129,102.013,99.088,101.526,67.6633,69.685,0.4310135,0.473526,841.294,873.725,856.773,862.189,859.005,861.729,859.111,861.107,269.164,297.331,270.033,288.561,331.502,332.458,332.207,332.846,37826,14,37840,0.037,안정,1,1
124532,98.2506,101.779,98.0407,101.364,65.347,67.6239,0.435232,0.468488,849.973,865.639,858.232,861.424,859.12,860.965,859.006,860.981,269.121,296.931,266.426,290.64,331.488,332.313,332.048,332.857,45497,9,45506,0.02,안정,1,0
124585,97.8707,101.976,98.4538,101.53,66.1524,67.8105,0.434007,0.46292,842.772,874.642,856.802,862.149,858.28,861.362,858.735,861.305,269.386,297.447,269.325,290.72,331.573,332.391,332.295,332.939,44336,1,44337,0.002,안정,1,1
124809,98.9061,100.786,98.2552,100.564,65.4118,67.3456,0.440524,0.461519,851.574,865.197,858.765,861.216,859.18,860.753,859.194,860.708,269.143,297.319,270.309,289.171,331.753,332.299,332.502,333.114,45430,6,45436,0.013,안정,1,0
124852,97.9985,101.598,98.5048,101.345,65.9599,67.379,0.437771,0.461892,843.133,874.015,856.628,862.24,858.46,861.462,858.954,861.625,269.459,298.054,270.028,291.251,331.821,332.35,332.44,332.975,29348,3,29351,0.01,안정,1,1
124960,99.2579,101.783,99.1798,101.291,64.5851,66.3241,0.290589,0.459655,853.671,874.976,859.114,861.921,858.99,860.654,858.98,860.542,268.686,297.869,268.344,289.27,331.288,332.268,331.767,332.914,23418,5,23423,0.021,안정,1,1
125355,98.4508,101.211,98.1667,100.852,65.4737,67.2431,0.438165,0.462832,846.895,869.821,857.667,861.513,858.666,861.089,859.053,861.189,269.438,297.459,269.088,290.367,331.696,332.631,332.068,332.629,14734,6,14740,0.041,위험,0,0
125379,98.1708,101.718,97.9144,101.541,65.1386,67.9033,0.430061,0.468921,844.399,873.974,857.541,861.985,859.071,861.27,858.899,861.12,269.454,297.704,268.974,291.677,331.727,332.576,331.854,332.704,89490,58,89548,0.065,위험,0,0
125637,98.1653,102.299,97.8799,101.278,65.5031,67.5504,0.4196,0.470873,845.529,875.986,856.642,862.646,858.839,862.116,858.986,861.94,269.376,297.52,269.755,289.986,331.723,332.469,331.796,332.628,29926,6,29932,0.02,안정,1,0
125919,98.1306,102.193,97.9723,101.413,65.5737,67.7713,0.429029,0.476387,844.315,874.636,857.391,862.159,858.752,861.48,858.989,861.264,269.317,297.455,269.255,291.418,331.591,332.513,331.957,332.72,59671,48,59719,0.08,위험,0,0
126069,98.5964,101.923,98.3146,101.477,65.8515,67.7306,0.437456,0.46972,845.08,875.437,857.522,862.029,859.236,861.203,858.892,861.057,269.25,297.555,268.639,289.997,331.626,332.48,332.012,332.63,29953,22,29975,0.073,위험,0,0
126407,97.9946,101.766,97.8846,101.384,65.724,68.2935,0.434515,0.470939,846.35,875.019,857.129,862.172,858.48,861.44,858.731,861.504,269.444,297.883,269.458,291.604,331.554,332.53,332.031,332.734,59667,36,59703,0.06,위험,0,0
126519,99.3718,100.9,99.6713,101.246,65.9995,68.0951,0.427905,0.481505,852.266,867.719,858.919,861.028,859.073,860.723,859.057,861.225,269.554,297.54,269.123,291.018,331.787,332.441,332.444,332.86,30285,14,30299,0.046,위험,0,1
126569,99.2491,101.927,99.5944,101.424,66.9958,69.6721,0.40546,0.479453,850.453,873.369,858.373,862.08,859.117,861.056,859.163,860.919,269.792,297.798,269.727,290.639,331.536,332.483,331.635,332.838,59310,20,59330,0.034,안정,1,1
126806,98.6906,101.789,98.661,101.298,67.9916,70.5223,0.380097,0.479829,847.599,872.749,858.172,861.632,859.28,860.845,859.293,861.296,269.939,298.072,270.439,289.873,331.706,332.611,332.128,332.939,44828,49,44877,0.109,위험,0,1
127519,99.1828,102.417,98.369,101.656,65.0773,67.543,0.431881,0.470746,847.436,874.785,857.894,862.009,858.721,861.122,858.875,861.123,269.075,297.101,270.034,288.872,331.387,332.186,331.82,332.641,14965,5,14970,0.033,안정,1,0
127525,98.2351,101.702,98.0357,101.381,65.4526,67.9485,0.431041,0.471344,843.917,873.236,857.354,862.1,858.901,861.252,858.801,861.245,268.991,296.905,270.564,288.957,331.251,332.248,331.865,332.996,75760,34,75794,0.045,위험,0,0
127639,98.0705,101.454,98.1358,101.135,66.2318,68.4449,0.438294,0.463445,844.303,869.278,857.628,862.136,858.57,861.117,858.74,861.356,269.293,296.917,270.292,288.691,331.455,331.989,332.117,332.57,10313,6,10319,0.058,위험,0,1
128008,98.1891,102.112,97.8866,101.372,65.8994,68.0912,0.424217,0.479157,843.214,873.498,856.968,862.329,858.714,861.593,858.316,861.841,269.033,297.436,269.27,290.717,331.366,332.117,332.08,332.774,89635,27,89662,0.03,안정,1,0
128388,98.0959,101.831,98.1472,101.536,66.6679,69.2246,0.436274,0.468897,842.983,874.8625,857.041,862.546,858.32,861.475,858.582,861.328,269.368,298.019,268.892,291.662,331.478,332.221,332.077,332.845,74519,34,74553,0.046,위험,0,0
128795,97.7735,101.819,98.1732,101.376,65.2014,66.9057,0.428065,0.485686,847.903,875.023,857.399,862.467,858.602,861.239,858.997,861.189,269.387,297.789,269.152,291.633,331.639,332.171,332.309,332.814,14870,55,14925,0.369,위험,0,0
128800,98.383,102.151,98.6272,101.529,64.4368,67.3237,0.424964,0.489656,843.421,874.496,857.231,862.642,858.837,861.515,858.743,861.07,269.058,297.652,270.017,290.662,331.378,332.108,332.16,332.827,29748,66,29814,0.221,위험,0,0
129121,98.3399,101.883,98.6627,101.266,65.348,66.8667,0.443015,0.457626,854.85,864.993,858.295,860.975,859.403,861.068,859.426,861.417,269.133,297.146,269.185,291.0,331.492,331.98,332.334,332.818,8412,2,8414,0.024,안정,1,1
129889,98.4529,101.851,98.4633,101.39,68.0101,71.1415,0.437632,0.470198,849.831,875.538,857.521,862.473,858.883,861.143,859.02,860.936,269.621,297.279,270.431,289.753,331.389,332.174,332.14,332.712,29700,19,29719,0.064,위험,0,0
130178,98.1382,101.885,98.1713,101.421,68.4411,70.2268,0.437374,0.475061,842.035,873.736,856.377,862.451,858.87,861.224,858.848,861.1,269.984,298.465,270.034,290.782,331.414,332.277,332.011,332.679,32107,13,32120,0.04,위험,0,0
130220,99.1501,102.019,99.029,101.385,66.6364,68.7333,0.433308,0.474208,852.006,874.956,858.842,862.329,858.809,860.968,858.854,860.692,269.571,297.946,269.284,291.696,331.041,332.214,331.642,332.914,45254,7,45261,0.015,안정,1,1
130332,98.7704,102.027,98.9659,101.426,63.7301,69.2103,0.432869,0.466137,844.512,875.342,857.354,862.384,859.05,861.063,858.906,860.778,269.947,297.943,270.244,289.963,331.27,332.1,332.012,332.635,45333,3,45336,0.007,안정,1,1
130425,97.8726,101.879,98.2481,101.488,63.4699,68.9404,0.436156,0.470797,848.636,874.83,857.576,862.465,858.574,861.132,858.863,861.137,269.775,298.117,270.559,289.898,330.948,332.199,331.257,332.71,29765,2,29767,0.007,안정,1,0
130868,97.6166,101.859,98.284,101.414,64.891,69.2219,0.430977,0.482531,846.18,874.742,857.161,862.208,858.607,861.246,858.701,861.457,269.647,298.134,269.376,291.516,331.792,332.392,332.463,333.092,44636,12,44648,0.027,안정,1,1
131033,98.6872,101.925,98.5668,101.358,62.3061,67.5705,0.441586,0.460372,852.048,874.76,858.75,862.435,858.879,861.001,858.934,860.603,269.292,296.799,268.487,288.665,331.09,332.15,331.449,332.686,15015,3,15018,0.02,안정,1,1
131164,99.0878,102.313,98.8398,101.434,62.2395,67.1507,0.439598,0.462488,843.134,874.558,857.034,862.338,858.827,861.225,858.85,860.992,268.964,296.865,268.157,288.875,331.406,332.187,332.332,332.979,75310,15,75325,0.02,안정,1,0
131328,97.9256,101.634,98.4388,101.318,62.0932,68.2688,0.43796,0.475895,847.771,873.776,857.643,862.021,859.096,861.263,858.837,861.17,269.251,297.373,268.923,289.099,331.077,332.27,331.688,332.958,30392,7,30399,0.023,안정,1,0
131424,98.047,101.89,98.2448,101.524,64.4236,67.6846,0.441946,0.464922,843.843,874.918,856.581,862.109,858.629,861.392,859.157,861.304,269.223,296.952,268.764,288.963,331.621,332.203,332.393,333.047,29822,19,29841,0.064,위험,0,0
131711,98.0827,101.973,97.9235,101.45,65.9121,67.4995,0.436128,0.459863,841.297,875.825,855.929,861.97,858.468,861.671,858.956,861.251,268.923,297.332,270.602,289.419,331.639,332.254,332.257,333.09,29972,22,29994,0.073,위험,0,0
131758,99.4398,101.96,99.4283,101.503,64.9,67.1877,0.251496,0.455604,859.528,860.455,859.603,860.643,859.583,860.776,859.785,860.433,269.713,297.938,270.717,288.829,331.397,331.912,331.857,332.35,15006,9,15015,0.06,위험,0,1
131938,98.206,101.771,98.6954,101.366,64.2332,69.0701,0.426206,0.472868,849.398,871.828,858.102,862.085,858.912,861.016,858.726,861.172,269.333,297.563,270.819,289.086,331.625,332.338,332.314,333.179,75092,17,75109,0.023,안정,1,1
132161,98.1436,101.983,98.36,101.409,66.3366,68.7205,0.433382,0.468168,848.258,874.36,857.596,862.188,858.836,861.102,858.738,861.157,269.436,297.68,269.666,291.333,331.665,332.36,332.474,333.001,60147,38,60185,0.063,위험,0,1
132414,98.2515,102.275,98.4918,101.412,66.393,68.5209,0.430409,0.477034,846.801,874.562,856.999,862.062,858.963,861.436,858.521,861.289,269.529,297.694,270.253,289.786,331.503,332.26,332.357,333.008,30116,5,30121,0.017,안정,1,1
132694,98.5946,101.137,98.569,100.594,66.6378,68.6533,0.429107,0.475415,850.244,865.964,858.086,861.902,858.769,861.282,859.006,861.193,269.623,297.57,270.717,289.335,331.735,332.191,332.516,332.959,30353,4,30357,0.013,안정,1,1
132857,99.0323,101.801,98.1613,101.402,67.1791,69.4566,0.432664,0.486733,844.498,875.426,857.792,862.065,859.066,861.205,858.749,861.205,269.76,298.096,270.196,289.621,331.591,332.271,332.317,332.979,40000,7,40007,0.017,안정,1,1
133605,97.9011,101.581,98.2931,101.364,67.1188,69.2045,0.436004,0.462539,847.517,875.351,857.48,862.312,858.771,861.108,858.617,861.635,269.844,298.095,271.099,289.382,331.804,332.317,332.571,333.066,45475,8,45483,0.018,안정,1,1
133691,97.7727,102.159,98.1214,101.437,67.7428,69.7038,0.43204,0.48139,844.715,873.515,857.129,862.36,858.792,860.999,858.934,861.273,270.081,298.056,269.898,291.268,331.592,332.519,332.252,333.134,45006,11,45017,0.024,안정,1,1
133924,98.1789,101.778,98.3009,101.378,67.591,70.4812,0.413962,0.472246,840.298,874.149,856.436,863.618,858.57,861.996,858.201,861.274,269.974,297.78,270.097,290.194,330.428,332.442,331.398,333.112,45148,17,45165,0.038,안정,1,1
134379,98.176,101.954,97.914,101.532,67.1474,69.6122,0.433718,0.475701,846.248,876.852,857.47,862.325,858.873,861.242,858.763,860.944,269.623,298.136,269.047,291.468,331.264,332.529,331.892,333.179,45262,5,45267,0.011,안정,1,1
134495,97.8235,102.107,98.1673,101.422,67.119,70.6613,0.403867,0.477278,841.727,875.576,856.83,862.494,858.436,861.533,858.567,861.854,269.69,298.242,269.827,289.634,331.445,332.614,332.081,333.155,97885,53,97938,0.054,위험,0,0
135027,98.0401,101.592,98.9146,100.977,68.1859,70.1268,0.430504,0.469115,849.13,875.056,857.524,862.725,858.351,861.127,858.46,861.434,269.8455,298.352,270.961,289.888,331.9135,332.64,332.284,332.79,15038,9,15047,0.06,위험,0,1
135029,98.9968,100.992,99.5351,100.453,68.6928,71.1229,0.427117,0.463763,852.608,864.376,858.962,860.752,859.364,860.47,859.419,860.568,270.036,297.935,270.735,290.21,332.031,332.636,332.472,332.983,30301,4,30305,0.013,안정,1,1
135125,98.2851,102.11,98.315,101.503,68.4223,71.0954,0.41868,0.499671,846.165,875.304,857.66,862.048,858.959,861.187,858.637,861.408,270.262,298.407,270.228,290.396,331.832,332.653,332.043,332.763,30104,24,30128,0.08,위험,0,1
135556,97.6031,102.198,98.3617,101.371,69.0053,70.4741,0.409185,0.489575,845.709,874.737,857.319,862.65,858.74,861.497,858.438,861.665,269.924,297.823,270.26,290.34,331.738,332.381,332.13,332.84,15047,5,15052,0.033,안정,1,0
135615,98.2445,101.825,98.8832,101.257,69.0493,70.6547,0.410522,0.488324,850.135,874.993,857.949,862.194,858.752,861.058,858.267,861.832,269.941,298.299,270.014,290.985,331.611,332.502,332.253,332.893,45427,0,45427,0.0,안정,1,1
135704,98.692,101.945,99.2567,101.351,67.7413,71.1552,0.431495,0.481481,846.609,875.852,857.654,862.442,859.139,861.426,858.873,860.767,270.146,298.398,269.796,290.462,331.724,332.594,332.296,332.995,32229,2,32231,0.006,안정,1,1
136014,98.1508,101.775,98.2773,101.307,68.5407,71.3577,0.432405,0.47946,845.268,875.035,857.347,862.602,858.497,861.523,858.448,861.347,270.052,298.338,269.731,290.684,331.666,332.554,332.052,332.983,90301,7,90308,0.008,안정,1,1
136603,98.9861,101.743,99.1375,101.019,67.4312,70.76,0.430187,0.480307,848.034,872.534,858.335,862.051,858.824,861.111,858.815,861.173,269.961,298.243,270.192,290.848,331.504,332.419,332.056,332.904,74943,2,74945,0.003,안정,1,1
137850,98.2545,101.681,98.6277,101.301,65.0952,69.9734,0.43636,0.468745,844.238,873.209,856.995,862.168,858.6,861.33,858.789,861.36,269.902,298.158,269.978,290.683,331.592,332.372,332.269,333.005,54226,12,54238,0.022,안정,1,1
137996,98.396,101.736,98.2463,101.21,66.4315,69.2384,0.433193,0.467429,844.303,873.19,856.97,862.076,858.707,861.373,858.545,861.116,269.859,298.459,269.182,290.887,331.59,332.594,332.275,333.156,75630,14,75644,0.019,안정,1,1
138084,97.8548,102.232,98.6263,101.457,67.9764,69.5586,0.427746,0.472036,845.045,874.95,856.699,862.43,858.488,861.487,858.71,861.339,270.126,297.583,270.252,290.165,331.698,332.343,332.397,332.842,14533,3,14536,0.021,안정,1,0
138123,97.8318,102.192,98.4503,101.397,66.8141,69.6301,0.425524,0.48162,845.841,875.433,856.891,862.388,858.732,861.488,858.485,861.455,270.061,298.037,269.979,290.117,331.545,332.717,332.051,333.059,35676,10,35686,0.028,안정,1,1
138774,98.2664,101.72,98.6499,101.268,68.5891,71.1316,0.436153,0.467055,841.449,871.69,857.028,861.521,858.77,861.301,859.075,861.502,269.839,297.973,269.387,290.542,331.621,332.403,332.215,332.876,68681,71,68752,0.103,위험,0,1
138938,97.7037,101.832,98.0935,101.317,68.6952,69.9798,0.43364,0.469517,841.374,876.18,856.857,862.251,858.521,861.574,858.787,861.523,269.915,297.206,269.483,290.043,331.466,332.292,332.129,332.824,30081,6,30087,0.02,안정,1,0
139116,98.1344,101.921,98.0741,101.294,67.8668,70.6566,0.196253,0.491581,850.827,873.54,858.272,862.012,858.687,860.902,858.699,861.185,270.065,298.53,269.841,291.125,331.349,332.58,331.469,332.543,60112,7,60119,0.012,안정,1,1
139330,98.6838,101.844,99.3366,101.307,64.866,69.3668,0.421437,0.479763,844.019,874.103,857.404,862.41,859.059,861.423,858.634,861.033,270.196,297.87,269.664,290.59,331.677,332.685,331.721,332.725,29921,5,29926,0.017,안정,1,1
139417,99.1579,101.725,98.6674,101.424,66.8712,68.9465,0.428592,0.48597,853.849,874.237,858.931,862.618,859.009,860.861,858.685,860.641,270.249,297.479,269.537,290.445,331.42,332.604,331.259,332.6,15055,2,15057,0.013,안정,1,1
139507,97.904,101.849,98.2042,101.32,64.806,69.0904,0.430457,0.469454,842.625,870.626,856.823,861.791,858.92,861.361,859.008,861.414,269.153,297.518,268.292,290.369,331.85,332.563,331.851,332.556,37499,3,37502,0.008,안정,1,0
